itemId,name,text,reviewContent,sentiment_label,confidence,rating,relevanceScore,boughtDate,clientType,retrievedDate
100002528,Kamal U.,,bagus  mantap dah sesui pesanan,positive,0.9966026544570924,5.0,26.51,09 Apr 2019,androidApp,2019-10-02
100002528,yofanca m.,,bagus sesuai foto,positive,0.7845197916030884,4.0,22.49,24 Sep 2017,androidApp,2019-10-02
100002528,Lazada Customer,ok mantaaapppp barang sesuai pesanan good,okkkkk mantaaaaaaapppp  goood,positive,0.5031123757362366,5.0,21.5,04 Apr 2018,androidApp,2019-10-02
100002528,Lazada Customer,,bagus sesuai,positive,0.8007147312164307,4.0,20.51,22 Sep 2017,androidApp,2019-10-02
100002528,nurfarida,ada pengirimn ntb bima,bima,neutral,0.8240543007850647,1.0,7.22,,androidApp,2019-10-02
100003785,Fadjar B.,,baru 10 bulan layarnya dah bergaris,negative,0.9863227605819702,1.0,21.49,06 Apr 2017,androidApp,2019-10-02
100003785,agung p.,barang bagus sesuai specs,pesan rabu soreminggu sore sampebarang sesuai specs mantabtks lazada,neutral,0.4947001039981842,5.0,19.5,01 Mar 2017,mobile,2019-10-02
100004132,Lazada Guest,ini cicil pake apa,mau tanya ini cicilnya pake apa yacc bkn,neutral,0.7682135701179504,1.0,14.88,,androidApp,2019-10-02
100004132,Yan M.,beli cash sesuai harga di atas,apakah tv tsb suda ada anti gores,neutral,0.889901340007782,5.0,13.01,,mobile-app,2019-10-02
100004505,Andry M.,pesanan tidak tepat waktu,pengirim barang tidak sesuai janji katanya express 1 hari dari hari jumat barang sampai hari rabu semoga barangnya awet saja,negative,0.997680127620697,1.0,31.51,18 Mei 2018,mobile,2019-10-02
100004505,Leonard,tv ok,kualitas ok,negative,0.7684223055839539,4.0,22.88,02 Jun 2017,desktop,2019-10-02
100004505,Lazada Guest,cara mendapatkan garansi,bagaimana tv led saya merek sharp 24 hitam lc 24le170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya  soalnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih,neutral,0.8736105561256409,1.0,22.67,,mobile-app,2019-10-02
100004505,Bun D.,,pengiriman super lama tapi datang juga sich,negative,0.9954860806465148,3.0,22.49,22 Jul 2018,iosApp,2019-10-02
100004505,Fadoli,sharp hd led tv 24  lc24le175i  hitam,ok barang sampai dengan baik smoga terus di pertahankan,positive,0.8912637233734131,5.0,21.51,18 Apr 2018,desktop,2019-10-02
100004505,Lazada Guest,menanyakn cara ciciln,kalau mau cicilan gmna cra nya,neutral,0.9928185939788818,5.0,14.35,,mobile-app,2019-10-02
