itemId,category,name,rating,reviewTitle,reviewContent,reviewContent_Cleaned,hasil_deteksi
"100235739,beli-harddisk-eksternal,Herdy S.,5,,SANGAT MEMUASKAN!!!,""Packing rapih dan aman banget barangnya, pengiriman cepat (hari ini order, besok langsung dateng). Pokonya seller recommended, dari segi harga juga bersaing. :) ;"") :D""""",0,0,0,29.99,true,true,Asli
"115558,beli-harddisk-eksternal,Kania T.,5,,very good,""respon cepat, pengiriman cepat. barang tiba dengan kondisi baik, bonus kalender meja kecil. bentuknya kecil imut dan solid (nilai plusnya). material casing menggunakan plastik yg cukup solid jg. barusan uji coba;"" jalan bagus lancar jaya", soal kecepatan transfer jg cukup baik/cepat di win 7 (menggunakan port usb 2.0) akan lebih baik/cepat lagi kalo pakai port 3.0. over all barang bagus, moga awet. buat seller trima kasih," very recomended seller. buat lazada thank u as always.""""",7,7,,Palsu
"363460601,beli-harddisk-eksternal,Andreas H.,1,,Agak nyesel beli produk ini.,""To the point. Mending beli merk lain (metk Korea atau Jepang) yg sdh jelas kualitasnya. Harganya jg gak jauh beda kok.  Utk TV ukuran 40 inch ke bawah, resolusi UHD/4K itu ngefek kalo jarak tonton kurang dari 1 meter;"" utk ukuran 40 ke bawah", resolusi Full HD sdh lebih dr cukup. Jd menurut saya TV ini over spec tp gak bermanfaat.  Feature lainnya justru yg hrs ditingkatkan. Bbrp feature yg hrs nya bisa lebih baik utk harga spt ini: - Layar: TV ini layarnya kurang cerah - Operating System: TV ini OS nya tdk spt Android TV lainnya," padahal katanya Android TV. - Toko Aplikasi nggak lengkap.  Ini Android TV bukan sih????""""",21,5,21,,Palsu
"376101513,beli-harddisk-eksternal,Lazada Customer,1,,null,""Barang Nya gak bisa Membuka File Lagu/Vidio Mengecewakan ;""( ",".Barang ORI gak mungkin LED nya Warna Merah Dan Barang Ini bener² KW""""",0,0,true,0,,Palsu
"377474276,beli-harddisk-eksternal,Septian A.,5,,null,""Menurut saya yg awam denga TV, secara yampolam desain dan gambarnya, ini TV kayaknya sama aja seperti TV mahal pada umumnya. Keren!! kalo suaranya si biasa aja (gak terlalu pengaruh si, soalnya pake speaker aktif). Kualitas pruduknya sendiri;"" mantap", kokoh, jauh dari kata ringkih. Oh iya," Plpackingnya jg Ok. Barang aman!!!""""",4,4,,Palsu
439429329,beli-harddisk-eksternal,aep R.,5,,1,,Palsu
100002528,,Kamal U.,5.0,,bagus  mantap dah sesui pesanan,bagus bagus sudah sesui pesanan,Asli
100002528,,yofanca m.,4.0,,bagus sesuai foto,bagus sesuai foto,Asli
100002528,,Lazada Customer,5.0,,okkkkk mantaaaaaaapppp  goood,ok bagus god,Asli
100002528,,Lazada Customer,4.0,,bagus sesuai,bagus sesuai,Asli
100002528,,nurfarida,1.0,,bima,bima,Asli
100003785,,Fadjar B.,1.0,,baru 10 bulan layarnya dah bergaris,baru bulan layarnya sudah bergaris,Asli
100003785,,agung p.,5.0,,pesan rabu soreminggu sore sampebarang sesuai specs mantabtks lazada,pesan rabu soremingu sore sampebarang sesuai specs mantabtks lazada,Asli
100004132,,Lazada Guest,1.0,,mau tanya ini cicilnya pake apa yacc bkn,mau tanya ini cicilnya pake apa yac bkn,Asli
100004132,,Yan M.,5.0,,apakah tv tsb suda ada anti gores,apakah tv tsb suda ada anti gores,Asli
100004505,,Andry M.,1.0,,pengirim barang tidak sesuai janji katanya express 1 hari dari hari jumat barang sampai hari rabu semoga barangnya awet saja,pengirim barang tidak sesuai janji katanya expres hari dari hari jumat barang sampai hari rabu semoga barangnya awet saja,Asli
100004505,,Leonard,4.0,,kualitas ok,kualitas ok,Asli
100004505,,Lazada Guest,1.0,,bagaimana tv led saya merek sharp 24 hitam lc 24le170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya  soalnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih,bagaimana tv led saya merek sharp hitam lc le i sekarang mati total baru bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya soalnya masih garansi kepada pihak lazada saya mohon bantuanya terimakasih,Asli
100004505,,Bun D.,3.0,,pengiriman super lama tapi datang juga sich,pengiriman super lama tapi datang juga sich,Asli
100004505,,Fadoli,5.0,,ok barang sampai dengan baik smoga terus di pertahankan,ok barang sampai dengan baik smoga terus di pertahankan,Asli
100004505,,Lazada Guest,5.0,,kalau mau cicilan gmna cra nya,kalau mau cicilan gmna cra nya,Asli
100004505,,Fitriyansah E.,5.0,,barang sudah sampai dan bagus thanks lazada,barang sudah sampai dan bagus thanks lazada,Asli
100004505,,Lazada Guest,5.0,,pengiriman cepat sipplahhh,pengiriman cepat siplah,Asli
100005037,,Lazada Customer,5.0,,sampe sekarang masih ok ne laptop,sampe sekarang masih ok ne laptop,Asli
100006860,,Lazada Guest,5.0,,pengiriman cepat  packaging good  barang oke thnks seller thnks lazada,pengiriman cepat packaging god barang oke thnks seler thnks lazada,Asli
100007498,,Amarullah,5.0,,barang diterima dengan selamat produk sesuai dengan deskripsi barang nyape 3 hari ke pekanbaruriau terimakasih lazada dan kotakom pucang laptopnya mantap,barang diterima dengan selamat produk sesuai dengan deskripsi barang nyape hari ke pekanbaruriau terimakasih lazada dan kotakom pucang laptopnya bagus,Asli
100010722,,Dwi,5.0,,senang belanja disinipelayanan okebarang sesuai ekspektasiorder senin hari selasa malam udah nyampe  di settingin sxan sama kurirnyapokoknya top dehthanks lazada,senang belanja disinipelayanan okebarang sesuai ekspektasiorder senin hari selasa malam udah nyampe di setingin sxan sama kurirnyapokoknya top dehthanks lazada,Asli
100010722,,Rosalina S.,4.0,,belum test barangnya,belum test barangnya,Asli
100010722,,Wan D.,1.0,,sudah cape2 transfer tapi pesanan ditolak,sudah cape transfer tapi pesanan ditolak,Asli
100010745,,Anggun W.,5.0,,barang ok kualitas bagus dengan harga yg cukup miring kualitas gambar juga ok pengiriman lumayan ga nyesel pokonya beli tv ini,barang ok kualitas bagus dengan harga yang cukup miring kualitas gambar juga ok pengiriman lumayan tidak nyesel pokonya beli tv ini,Asli
100010745,,Fathin,5.0,,saya minat tapi kalau dikirim ke gresik jawa timur bisa gak klo dr info pengiriman bebas tapi takut gk sampai dan tanya apa ini sdh full hd apa blm terima kasih,saya minat tapi kalau dikirim ke gresik jawa timur bisa tidak kalau dari info pengiriman bebas tapi takut tidak sampai dan tanya apa ini sudah ful hd apa belum terima kasih,Asli
100010745,,Eti A.,4.0,,pengn tivinya,pengn tivinya,Asli
100010745,,Lazada Guest,5.0,,mantapppp barang nya,bagus barang nya,Asli
100010745,,Lazada Guest,3.0,,barang mulusss mantapppppp,barang mulus bagus,Asli
100015720,,Fuady S.,1.0,,laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat di judul dikatakan core i7,laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau namun pada tab spesifikasi utama produk itu emang intel core i atau salah untuk di judul dikatakan core i,Asli
100015720,,Ramadhana,5.0,,barang sampai dengan aman kemampuan laptop sesuai dengan yang di iklankan hanya saja laptop datang dengan dos sehingga harus di install sendiri windows nya overall its worth the money,barang sampai dengan aman kemampuan laptop sesuai dengan yang di iklankan hanya saja laptop datang dengan dos sehinga harus di instal sendiri windows nya overal its worth the money,Asli
100015720,,Jendra,5.0,,barang sampai 2 hari dengan selamat dan sesuai deskripsi,barang sampai hari dengan selamat dan sesuai deskripsi,Asli
100015720,,Ade P.,5.0,,harga sangat murah mantep banget,harga sangat murah mantep banget,Asli
100015720,,Lazada Guest,3.0,,murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,murah banget itu enga salah kasih harga tau nati salah kasi info barang nya,Asli
100015720,,Lazada Guest,1.0,,barang udah sampai tapi pas dinyalain g bisa gmn pertanggung jawaban lazada,barang udah sampai tapi saat dinyalain g bisa gmn pertangung jawaban lazada,Asli
100024235,,Lazada Guest,4.0,,klo dp1jt tanpa kartu kredit bisa gk brp bln pembayarannya dan sebulannya brp terimaksh,kalau dp jt tanpa kartu kredit bisa tidak brp bln pembayaranya dan sebulanya brp terimaksh,Asli
100024235,,Lazada Guest,1.0,,untuk pemasangan di tembok apa ad pihak dari lazada yg memasanga  terima kasih,untuk pemasangan di tembok apa ad pihak dari lazada yang memasanga terima kasih,Asli
100027329,,Yoga T.,5.0,,kapasitas hdd asli 1 tb dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya,kapasitas hd original tb dan tanpa ada lecet di sat saya pertama kali membuka bungkus buble nya,Asli
100027329,,Heri K.,5.0,,barang sesuai dengan gambar,barang sesuai dengan gambar,Asli
100027329,,Lazada Guest,4.0,,hd diterima dg packing bubble bagus hanya tidak tertulis barang elektronik atw keterangan lain agar penanganan lebih hati2 dan istimewa ketika paket dalam perjalanan finally 4bintang lhah,hd diterima dg packing buble bagus hanya tidak tertulis barang elektronik atw keterangan lain agar penanganan lebih hati dan istimewa ketika paket dalam perjalanan finaly bintang lhah,Asli
100027616,,ACHMAD F.,5.0,,mantap gan barang sampai dengan selamat  packing rapih  pokok mantap lah ,bagus gan barang sampai dengan selamat packing rapih pokok bagus lah,Asli
100027616,,Bilqis,5.0,,oke,oke,Palsu
100028438,,Dimas D.,5.0,,saya sangat puas dengan barangnya kualitas barang sangat membantu hdd saya apabila jatuh dari atas dan pengiriman rapi gk ada lecet kasih bintang 5  dan saya sangat tidak puas dengan peng,saya sangat puas dengan barangnya kualitas barang sangat membantu hd saya apabila jatuh dari atas dan pengiriman rapi tidak ada lecet kasih bintang dan saya sangat tidak puas dengan peng,Asli
100028438,,Pembeli,4.0,,barang diterima dengan kondisi yang baik tapi packagingnya kurang,barang diterima dengan kondisi yang baik tapi packagingnya kurang,Asli
100028438,,KHAIRUNNISA.SYAN,5.0,,suka banget sama barangnya packing nya rapi pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini,suka banget sama barangnya packing nya rapi pokoknya bagus banget untuk kalian yang mau beli tas hardisk dengan kulitas bagus yah di sini,Asli
100030605,,Antonio G.,5.0,,flashdisk ori packing bagus saya sukathx,flashdisk original packing bagus saya sukathx,Asli
100034104,,Lazada Customer,5.0,,aman cepat pula,aman cepat pula,Asli
100034104,,Lazada Customer,4.0,,bagus ori kok cuma hanya aja 58 gb klo 63 gpp hilang 1 gb,bagus original kok cuma hanya aja gb kalau gp hilang gb,Asli
100034104,,Ririn S.,1.0,,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,kapasitasy kurang bagus aturany klw kosong g bnyak firus tapi nieh bnyak firus sangat kecewe,Asli
100034104,,Asrinur A.,5.0,,baguss bangett kurir nya jga ramah cakep pula wkwk ini 64gb tp cmn 58 sekian gb tp gpp lah yah pokok nya recomended deh,bagus banget kurir nya jga ramah cakep pula wkwk ini gb tapi cuma sekian gb tapi gp lah yah pokok nya bagus deh,Asli
100034104,,ucen W.,5.0,,produk dah sampai kemasan rapih pengiriman cepat barang  bagus pembayaran cod tidak perlu diragukan lagi ,produk sudah sampai kemasan rapih pengiriman cepat barang bagus pembayaran cod tidak perlu diragukan lagi,Asli
100034104,,ucen W.,5.0,,barangnya bagus banget sesuai dengan gambar dn deskripsi pengiriman cepat bagus dn recomended bangt,barangnya bagus banget sesuai dengan gambar dn deskripsi pengiriman cepat bagus dn bagus bangt,Asli
100034104,,Andre A.,5.0,,packing tanpa bubble warp fisik no minus cuma 58 gb bukan 64 ya lumayan,packing tanpa buble warp fisik no minus cuma gb bukan ya lumayan,Asli
100034104,,Hendrii R.,5.0,,barang ok  packing rapii  kurir nya ramahh  puass ,barang ok packing rapi kurir nya ramah puas,Asli
100034104,,muchamad R.,5.0,,produk original mantap semoga awet,produk original bagus semoga awet,Asli
100034104,,Budi,5.0,,baik sesuai ekspektasi,baik sesuai ekspektasi,Asli
100034104,,Lazada Customer,5.0,,barang nya oke makasih,barang nya oke makasih,Asli
100034104,,Ahmad K.,5.0,,tumben ninja cepat pengirimannya,tumben ninja cepat pengirimanya,Asli
100034104,,ganirogy,5.0,,barang asli dan original terimakasih maju terus toko jet store,barang original dan original terimakasih maju terus toko jet store,Asli
100034104,,Fadhila U.,5.0,,flashdisk nya bagus sesuai picture barang cepat sampai kurir ramah,flashdisk nya bagus sesuai picture barang cepat sampai kurir ramah,Asli
100034104,,ferry P.,5.0,,oke mudah2an awet dan ga crash belum sempet d coba,oke mudah an awet dan tidak crash belum sempet di coba,Asli
100034104,,wisnu D.,5.0,,kapasitas cuma 58 gb ajaaaaa  huft,kapasitas cuma gb aja huft,Asli
100034104,,Lazada Customer,4.0,,katanya 64 gb nyatanya cuman 58 gb,katanya gb nyatanya cuma gb,Asli
100034104,,Irine S.,5.0,,thks ya barang sdh sampaismga cocok,thks ya barang sudah sampaismga cocok,Asli
100034104,,Winarso Y.,5.0,,siipppthank lazada,sipthank lazada,Asli
100034104,,Irman A.,5.0,,udah di trima barang ok moga awet,udah di trima barang ok moga awet,Asli
100034104,,Indra S.,5.0,,josss tenan,jos tenan,Asli
100034104,,Recvy,5.0,,ini ori bagus tahan lama masih saya pake,ini original bagus tahan lama masih saya pake,Asli
100034104,,Sucipto B.,1.0,,kampret kaga kebaca,kampret kaga kebaca,Asli
