name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
arriba   baked winter squash mexican style,137739.0,55.0,47892.0,2005-09-16,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'side-dishes', 'vegetables', 'mexican', 'easy', 'fall', 'holiday-event', 'vegetarian', 'winter', 'dietary', 'christmas', 'seasonal', 'squash']","[51.5, 0.0, 13.0, 0.0, 2.0, 0.0, 4.0]",11.0,"['make a choice and proceed with recipe', 'depending on size of squash , cut into half or fourths', 'remove seeds', 'for spicy squash , drizzle olive oil or melted butter over each cut squash piece', 'season with mexican seasoning mix ii', 'for sweet squash , drizzle melted honey , butter , grated piloncillo over each cut squash piece', 'season with sweet mexican spice mix', 'bake at 350 degrees , again depending on size , for 40 minutes up to an hour , until a fork can easily pierce the skin', 'be careful not to burn the squash especially if you opt to use sugar or butter', 'if you feel more comfortable , cover the squash with aluminum foil the first half hour , give or take , of baking', 'if desired , season with salt']","autumn is my favorite time of year to cook! this recipe 
can be prepared either spicy or sweet, your choice!
two of my posted mexican-inspired seasoning mix recipes are offered as suggestions.","winter squash, mexican seasoning, mixed spice, honey, butter, olive oil, salt",7.0,51.5,0.0,13.0,0.0,2.0,0.0,4.0
a bit different  breakfast pizza,31490.0,30.0,26278.0,2002-06-17,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'breakfast', 'main-dish', 'pork', 'american', 'oven', 'easy', 'kid-friendly', 'pizza', 'dietary', 'northeastern-united-states', 'meat', 'equipment']","[173.4, 18.0, 0.0, 17.0, 22.0, 35.0, 1.0]",9.0,"['preheat oven to 425 degrees f', 'press dough into the bottom and sides of a 12 inch pizza pan', 'bake for 5 minutes until set but not browned', 'cut sausage into small pieces', 'whisk eggs and milk in a bowl until frothy', 'spoon sausage over baked crust and sprinkle with cheese', 'pour egg mixture slowly over sausage and cheese', 's& p to taste', 'bake 15-20 minutes or until eggs are set and crust is brown']",this recipe calls for the crust to be prebaked a bit before adding ingredients. feel free to change sausage to ham or bacon. this warms well in the microwave for those late risers.,"prepared pizza crust, sausage patty, eggs, milk, salt and pepper, cheese",6.0,173.4,18.0,0.0,17.0,22.0,35.0,1.0
all in the kitchen  chili,112140.0,130.0,196586.0,2005-02-25,"['time-to-make', 'course', 'preparation', 'main-dish', 'chili', 'crock-pot-slow-cooker', 'dietary', 'equipment', '4-hours-or-less']","[269.8, 22.0, 32.0, 48.0, 39.0, 27.0, 5.0]",6.0,"['brown ground beef in large pot', 'add chopped onions to ground beef when almost brown and sautee until wilted', 'add all other ingredients', 'add kidney beans if you like beans in your chili', 'cook in slow cooker on high for 2-3 hours or 6-8 hours on low', 'serve with cold clean lettuce and shredded cheese']",this modified version of 'mom's' chili was a hit at our 2004 christmas party. we made an extra large pot to have some left to freeze but it never made it to the freezer. it was a favorite by all. perfect for any cold and rainy day. you won't find this one in a cookbook. it is truly an original.,"ground beef, yellow onions, diced tomatoes, tomato paste, tomato soup, rotel tomatoes, kidney beans, water, chili powder, ground cumin, salt, lettuce, cheddar cheese",13.0,269.8,22.0,32.0,48.0,39.0,27.0,5.0
alouette  potatoes,59389.0,45.0,68585.0,2003-04-14,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'side-dishes', 'eggs-dairy', 'potatoes', 'vegetables', 'oven', 'easy', 'dinner-party', 'holiday-event', 'easter', 'cheese', 'stove-top', 'dietary', 'christmas', 'new-years', 'thanksgiving', 'independence-day', 'st-patricks-day', 'valentines-day', 'inexpensive', 'brunch', 'superbowl', 'equipment', 'presentation', 'served-hot']","[368.1, 17.0, 10.0, 2.0, 14.0, 8.0, 20.0]",11.0,"['place potatoes in a large pot of lightly salted water and bring to a gentle boil', 'cook until potatoes are just tender', 'drain', 'place potatoes in a large bowl and add all ingredients except the""alouette""', 'mix well and transfer to a buttered 8x8 inch glass baking dish with 2 inch sides', 'press the potatoes with a spatula to make top as flat as possible', 'set aside for 2 hours at room temperature', 'preheat oven to 350^f', 'spread""alouette"" evenly over potatoes and bake 15 minutes', 'divide between plates', 'garnish with finely diced red and yellow bell peppers']","this is a super easy, great tasting, make ahead side dish that looks like you spent a lot more time preparing than you actually do. plus, most everything is done in advance. the times do not reflect the standing time of the potatoes.","spreadable cheese with garlic and herbs, new potatoes, shallots, parsley, tarragon, olive oil, red wine vinegar, salt, pepper, red bell pepper, yellow bell pepper",11.0,368.1,17.0,10.0,2.0,14.0,8.0,20.0
amish  tomato ketchup  for canning,44061.0,190.0,41706.0,2002-10-25,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'canning', 'condiments-etc', 'vegetables', 'american', 'heirloom-historical', 'holiday-event', 'vegetarian', 'dietary', 'amish-mennonite', 'northeastern-united-states', 'number-of-servings', 'technique', '4-hours-or-less']","[352.9, 1.0, 337.0, 23.0, 3.0, 0.0, 28.0]",5.0,"['mix all ingredients& boil for 2 1 / 2 hours , or until thick', 'pour into jars', ""i use'old' glass ketchup bottles"", ""it is not necessary for these to'seal"", ""'my amish mother-in-law has been making this her entire life , and has never used a'sealed' jar for this recipe , and it's always been great !""]","my dh's amish mother raised him on this recipe. he much prefers it over store-bought ketchup. it was a taste i had to acquire, but now my ds's also prefer this type of ketchup. enjoy!","tomato juice, apple cider vinegar, sugar, salt, pepper, clove oil, cinnamon oil, dry mustard",8.0,352.9,1.0,337.0,23.0,3.0,0.0,28.0
apple a day  milk shake,5289.0,0.0,1533.0,1999-12-06,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'low-protein', '5-ingredients-or-less', 'beverages', 'fruit', 'american', 'easy', 'kid-friendly', 'dietary', 'low-sodium', 'shakes', 'low-calorie', 'low-in-something', 'apples', 'number-of-servings', 'presentation', 'served-cold', '3-steps-or-less']","[160.2, 10.0, 55.0, 3.0, 9.0, 20.0, 7.0]",4.0,"['combine ingredients in blender', 'cover and blend until smooth', 'sprinkle with ground cinnamon', 'makes about 2 cups']",,"milk, vanilla ice cream, frozen apple juice concentrate, apple",4.0,160.2,10.0,55.0,3.0,9.0,20.0,7.0
aww  marinated olives,25274.0,15.0,21730.0,2002-04-14,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'appetizers', 'fruit', 'canadian', 'dinner-party', 'vegan', 'vegetarian', 'freezer', 'dietary', 'equipment', 'number-of-servings']","[380.7, 53.0, 7.0, 24.0, 6.0, 24.0, 6.0]",4.0,"['toast the fennel seeds and lightly crush them', 'place all the ingredients in a bowl , stir well', 'cover and leave to marinate', 'keep refrigerated and use within 1 to 2 days']",my italian mil was thoroughly impressed by my non-italian treatment of her olives. they are great appetizers and condiments to your fav pasta.(from the vancouver sun) ps. cook time include fridge time,"fennel seeds, green olives, ripe olives, garlic, peppercorn, orange rind, orange juice, red chile, extra virgin olive oil",9.0,380.7,53.0,7.0,24.0,6.0,24.0,6.0
backyard style  barbecued ribs,67888.0,120.0,10404.0,2003-07-30,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'south-west-pacific', 'main-dish', 'pork', 'oven', 'holiday-event', 'stove-top', 'hawaiian', 'spicy', 'copycat', 'independence-day', 'meat', 'pork-ribs', 'super-bowl', 'novelty', 'taste-mood', 'savory', 'sweet', 'equipment', '4-hours-or-less']","[1109.5, 83.0, 378.0, 275.0, 96.0, 86.0, 36.0]",10.0,"['in a medium saucepan combine all the ingredients for sauce#1 , bring to a full rolling boil , reduce heat to medium low and simmer for 1 hour , stirring often', 'rub the ribs with soy sauce , garlic , ginger , chili powder , pepper , salt and chopped cilantro , both sides !', 'wrap ribs in heavy duty foil', 'let stand 1 hour', 'preheat oven to 350 degrees', 'place ribs in oven for 1 hour , turning once after 30 minutes', '3 times during cooking the ribs open foil wrap and drizzle ribs with sauce#1', 'place all the ingredients for sauce#2 in a glass or plastic bowl , whisk well and set aside', 'remove ribs from oven and place on serving platter', 'offer both sauces at table to drizzle over ribs']",this recipe is posted by request and was originaly from chef sam choy's cookbook ,"pork spareribs, soy sauce, fresh garlic, fresh ginger, chili powder, fresh coarse ground black pepper, salt, fresh cilantro leaves, tomato sauce, brown sugar, yellow onion, white vinegar, honey, a.1. original sauce, liquid smoke, cracked black pepper, cumin, dry mustard, cinnamon sticks, orange, juice of, mirin, water",22.0,1109.5,83.0,378.0,275.0,96.0,86.0,36.0
bananas 4 ice cream  pie,70971.0,180.0,102353.0,2003-09-10,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'pies-and-tarts', 'desserts', 'lunch', 'snacks', 'no-cook', 'refrigerator', 'kid-friendly', 'frozen-desserts', 'pies', 'chocolate', 'dietary', 'inexpensive', 'equipment', 'number-of-servings', 'technique', '4-hours-or-less']","[4270.8, 254.0, 1306.0, 111.0, 127.0, 431.0, 220.0]",8.0,"['crumble cookies into a 9-inch pie plate , or cake pan', 'pat down to form an even layer', 'drizzle 1 cup of chocolate topping evenly over the cookies with a small spoon', 'scoop the vanilla ice cream on top of the chocolate and smooth down', 'cover with half of the sliced bananas', 'top with strawberry ice cream', 'cover and freeze until firm', 'before serving , top with 1 / 4 cup chocolate topping , whipped cream , and sliced bananas']",,"chocolate sandwich style cookies, chocolate syrup, vanilla ice cream, bananas, strawberry ice cream, whipped cream",6.0,4270.8,254.0,1306.0,111.0,127.0,431.0,220.0
beat this  banana bread,75452.0,70.0,15892.0,2003-11-04,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'breads', 'breakfast', 'fruit', 'oven', 'dietary', 'oamc-freezer-make-ahead', 'quick-breads', 'tropical-fruit', 'bananas', 'brunch', 'equipment', 'number-of-servings', '4-hours-or-less']","[2669.3, 160.0, 976.0, 107.0, 62.0, 310.0, 138.0]",12.0,"['preheat oven to 350 degrees', 'butter two 9x5"" loaf pans', 'cream the sugar and the butter until light and whipped', 'add the bananas , eggs , lemon juice , orange rind', 'beat until blended uniformly', 'be patient , and beat until the banana lumps are gone', 'sift the dry ingredients together', 'fold lightly and thoroughly into the banana mixture', 'pour the batter into prepared loaf pans', 'bake for 45 to 55 minutes , until the loaves are firm in the middle and the edges begin to pull away from the pans', 'cool the loaves on racks for 30 minutes before removing from the pans', 'freezes well']",from ann hodgman's ,"sugar, unsalted butter, bananas, eggs, fresh lemon juice, orange rind, cake flour, baking soda, salt",9.0,2669.3,160.0,976.0,107.0,62.0,310.0,138.0
berry  good sandwich spread,109439.0,5.0,49168.0,2005-01-25,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'low-protein', 'healthy', '5-ingredients-or-less', 'condiments-etc', 'easy', 'dietary', 'low-sodium', 'low-in-something', '3-steps-or-less']","[79.2, 3.0, 58.0, 0.0, 0.0, 6.0, 5.0]",2.0,"['in medium size bowl , coarsely mash cranberry sauce', 'stir in sour cream and horseradish until well blended']","horseradish is one of my favorite condiments as well as cranberry sauce. this is sweet and hot. i enjoy it on a smoked turkey & swiss sandwich, but also good alongside baked ham or roast beef.","whole berry cranberry sauce, sour cream, prepared horseradish",3.0,79.2,3.0,58.0,0.0,0.0,6.0,5.0
better than sex  strawberries,42198.0,1460.0,41531.0,2002-10-03,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'pies-and-tarts', 'desserts', 'fruit', '1-day-or-more', 'pies', 'dietary', 'low-sodium', 'comfort-food', 'low-in-something', 'berries', 'strawberries', 'taste-mood']","[734.1, 66.0, 199.0, 10.0, 10.0, 117.0, 28.0]",8.0,"['crush vanilla wafers into fine crumbs and line a square 8"" x8"" pan', 'mix butter or margarine and sugar', 'add beaten eggs', 'spread the mixture over the wafer crumbs', 'crush strawberries and spread over sugar , egg , and butter mixture', 'cover strawberries with whipped cream', 'sprinkle with chopped nuts', 'chill 24 hours']","simple but sexy. this was in my local newspaper's food section. cook time reflects refrigeration time.  i've been asked several times if this should be baked.  just to clarify, no, it is not, it is a refrigerator dessert. i'm not sure why it contains raw egg, but most tiramisu recipes do too.","vanilla wafers, butter, powdered sugar, eggs, whipping cream, strawberry, walnuts",7.0,734.1,66.0,199.0,10.0,10.0,117.0,28.0
better then bush s  baked beans,67547.0,2970.0,85627.0,2003-07-26,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'side-dishes', 'beans', 'american', '1-day-or-more', 'oven', 'potluck', 'to-go', 'equipment']","[462.4, 28.0, 214.0, 69.0, 14.0, 29.0, 23.0]",9.0,"['in a very large sauce pan cover the beans and bouillon cubes in 3 inches of water', 'bring to a boil , cover , and let sit for 1 1 / 2 hours', 'preheat oven to 350 degrees f', ""drain and pour beans into a 9'x11' pan"", 'add the rest over the ingredients , stir , and bake until all the water has evaporated , about 3 hours', 'remove from oven , cover , and let sit overnight', 'preheat oven to 350 degrees f', 'add the next 5 cups of water , and bake until all the water has evaporated , about 3 hours', 'serving suggestions: challah bread , steak , hamburgers']","i'd have to say that this is a labor of love dish, but i give you my word that this recipe is better than bush's. enjoy! oh, and also this recipe is easily doubled. in fact, i think it turns out better when it is.","great northern bean, chicken bouillon cubes, dark brown sugar, molasses, cornstarch, onion, garlic powder, mustard powder, chili powder, salt, black pepper, bacon, water",13.0,462.4,28.0,214.0,69.0,14.0,29.0,23.0
boat house  collard greens,107517.0,525.0,137696.0,2005-01-03,"['time-to-make', 'main-ingredient', 'preparation', 'vegetables', 'dietary', 'greens', 'collard-greens']","[315.8, 0.0, 202.0, 9.0, 6.0, 0.0, 21.0]",7.0,"['put prepared greens in large pot', 'add water', 'bring to a boil , and boil for one hour', 'add sugar , molasses , hot sauce , whiskey , and ham hock', 'bring to a boil again , and boil for another hour', 'reduce heat and simmer for 4-6 hours', 'during the last hour of cooking , add a little salt to taste']",my boss gave me this recipe several years ago. the recipe supposedly came from the ,"collard greens, brown sugar, molasses, hot sauce, whiskey, ham hock, salt",7.0,315.8,0.0,202.0,9.0,6.0,0.0,21.0
calm your nerves  tonic,39959.0,5.0,37449.0,2002-09-10,"['15-minutes-or-less', 'time-to-make', 'preparation', 'easy', 'number-of-servings']","[8.2, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",6.0,"['combine herbs', 'dosage: one-half teaspoonful mixed in one-half glass of cold water , followed by a glass of hot water , one hour before each meal and upon retiring', 'this can be put in gelatin capsules', 'two no', '00 capsules would contain the required amount for one dose', 'more can be taken with beneficial results']","this will prove a blessing to everyone who takes it. it is soothing and relaxing, quieting to the nerves, has many good qualities, and is perfectly harmless. you can get the ingredients from any good health food store. you could up this to 1 cup each or lessen it to 1/8 cup each, according to your preference.","gentian root, scullcap herb, burnet root, wood bethony, spearmint",5.0,8.2,0.0,0.0,0.0,1.0,0.0,0.0
chicken lickin  good  pork chops,63986.0,500.0,14664.0,2003-06-06,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'pork', 'crock-pot-slow-cooker', 'dietary', 'meat', 'pork-chops', 'equipment']","[105.7, 8.0, 0.0, 26.0, 5.0, 4.0, 3.0]",5.0,"['dredge pork chops in mixture of flour , salt , dry mustard and garlic powder', 'brown in oil in a large skillet', 'place browned pork chops in a crock pot', 'add the can of soup , undiluted', 'cover and cook on low for 6-8 hours']",here's and old standby i enjoy from time to time. it's from an old newspaper clipping i cut out years ago. very tasty.,"lean pork chops, flour, salt, dry mustard, garlic powder, oil, chicken rice soup",7.0,105.7,8.0,0.0,26.0,5.0,4.0,3.0
chile rellenos,43026.0,45.0,52268.0,2002-10-14,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', '5-ingredients-or-less', 'appetizers', 'side-dishes', 'eggs-dairy', 'american', 'southwestern-united-states', 'easy', 'vegetarian', 'cheese', 'deep-fry', 'dietary', 'oamc-freezer-make-ahead', 'number-of-servings', 'technique']","[94.0, 10.0, 0.0, 11.0, 11.0, 21.0, 0.0]",9.0,"['drain green chiles', 'sprinkle cornstarch on sheet pan', 'open up chile and place on egg roll wrapper with corner facing you', 'place cheese stick on chile and roll up , tucking in corners and moistening edges to seal', 'toss in cornstarch , dusting liberally', 'shake off excess cornstarch and deep fry in 350 oil to cover until lightly golden and cheese just starts to ooze out', 'drain on paper towels and keep warm in 250 oven', 'serve as a side dish or appetizer with your favorite mexican meal', 'add your favorite condi- ments / sauces']","a favorite from a local restaurant no longer in business. not an authentic mexican chile relleno, but a crispy, flaky version.","egg roll wrap, whole green chilies, cheese, cornstarch, oil",5.0,94.0,10.0,0.0,11.0,11.0,21.0,0.0
chinese  chop suey,8559.0,70.0,4481.0,2001-01-27,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'beef', 'pork', 'vegetables', 'american', 'potluck', 'dinner-party', 'heirloom-historical', 'holiday-event', 'kid-friendly', 'winter', 'stove-top', 'dietary', 'one-dish-meal', 'seasonal', 'meat', 'to-go', 'equipment', '4-hours-or-less']","[395.4, 31.0, 20.0, 29.0, 51.0, 33.0, 8.0]",8.0,"['brown ground meat and onion in a large pot', 'add 1 / 4 cup of soy sauce', 'thinly slice the entire bunch of celery , including the leaves', 'add beef broth and celery', 'bring to a boil', 'reduce heat and simmer until celery is tender', 'add more soy sauce if needed , to taste', 'serve as an open face sandwich over a hamburger bun']",easy one-pot dinner. ,"celery, onion, ground pork, soy sauce, beef broth, cooking oil, hamburger buns",7.0,395.4,31.0,20.0,29.0,51.0,33.0,8.0
cream  of cauliflower soup  vegan,23850.0,110.0,3288.0,2002-03-28,"['lactose', 'weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'bisques-cream-soups', 'soups-stews', 'potatoes', 'vegetables', 'american', 'spring', 'vegan', 'vegetarian', 'food-processor-blender', 'stove-top', 'dietary', 'seasonal', 'free-of-something', 'cauliflower', 'equipment', 'small-appliance', '4-hours-or-less']","[174.2, 4.0, 24.0, 1.0, 15.0, 1.0, 10.0]",10.0,"['heat the oil or margarine in a soup pot and add the onion and garlic', 'saute over medium heat until the onion is golden , about 10 minutes', 'add the cauliflower , potatoes , water , and seasonings', 'there should be enough broth to cover all but about an inch of the veggies', 'bring to a simmer , then simmer gently covered until the veggies are tender , about 25 minutes', 'remove from the heat transfer the vegetables from the soup pot to a food processor or blender and puree in batches until smooth', 'puree about half of the beans with each of the two batches of vegetables', 'transfer the puree back into the soup pot , stirring it back into whatever liquid remained', 'let the soup stand for 1-2 hours before serving , then heat through as needed', 'ladle into soup bowls and garnish the tops with 2-3 garnishes']",this is a dairy free ,"canola oil, onion, garlic, cauliflower, potatoes, vegetable bouillon cubes, water, salt free herb and spice seasoning mix, ground coriander, great northern bean, salt and pepper, broccoli floret, escarole, green peas, red bell pepper, fresh herb",16.0,174.2,4.0,24.0,1.0,15.0,1.0,10.0
cream  of spinach soup,76808.0,45.0,95743.0,2003-11-17,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'healthy', 'bisques-cream-soups', 'lunch', 'soups-stews', 'vegetables', 'easy', 'beginner-cook', 'fall', 'holiday-event', 'spring', 'winter', 'food-processor-blender', 'stove-top', 'dietary', 'low-sodium', 'low-cholesterol', 'seasonal', 'low-calorie', 'comfort-food', 'low-carb', 'st-patricks-day', 'inexpensive', 'healthy-2', 'low-in-something', 'greens', 'spinach', 'taste-mood', 'savory', 'equipment', 'small-appliance', 'number-of-servings', 'presentation', 'served-hot']","[126.0, 11.0, 2.0, 14.0, 5.0, 23.0, 4.0]",9.0,"['bring water and salt to a boil', 'cut the potatoes in half lengthwise , and then into 1 / 2"" thick slices', 'boil over medium-high heat for twenty minutes', ""add the spinach and boil another 10 minutes being careful to not overcook in order to maintain it's bright green color"", 'drain , reserving 1 1 / 4 cups cooking liquid', 'in a food processor , process the potatoes and spinach until very smooth , adding the butter 1 / 2 t at a time', 'return the puree to the pot and add the reserved liquid until the desired consistency', 'reheat slowly and season with salt and pepper', 'ladle into shallow soup plates and garnish with nutmeg or shaved cheese']","wonderful comfort food from rozanne gold, a favorite cookbook author. this is a creamless creamed soup and it's delicious. it's made thick with potatoes and rich with butter. the color of this soup is stunning.","water, salt, boiling potatoes, fresh spinach leaves, unsalted butter, coarse salt, fresh ground black pepper, nutmeg",8.0,126.0,11.0,2.0,14.0,5.0,23.0,4.0
cream  of spinach soup  vegan,24701.0,55.0,3288.0,2002-04-08,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'bisques-cream-soups', 'main-dish', 'soups-stews', 'vegetables', 'vegan', 'vegetarian', 'stove-top', 'dietary', 'one-dish-meal', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'comfort-food', 'low-in-something', 'taste-mood', 'equipment']","[64.8, 3.0, 13.0, 54.0, 4.0, 2.0, 3.0]",10.0,"['in a 3 qt saucepan over medium high heat , saute the onions and scallions in the apple juice and oil for 5 minutes , stirring frequently', 'add the spinach , parsley and celery', 'cook for 5-7 minutes , stirring occasionally add the broth , oats , salt , thyme and pepper', 'bring to a boil , then lower the heat to medium', 'cover and simmer for 20 minutes', 'remove from the heat', 'let the soup cool for 10 minutes', 'working in batches , puree in a blender until thick and smooth', 'return to the pot', 'reheat and serve']","thickened with a mix of cooked oats and vegies, this soup has all the flavor of the original with a fraction of the fat stuff. low in cholestorol too!","onion, scallion, apple juice, olive oil, spinach, fresh parsley, celery, broth, rolled oats, salt, dried thyme, white pepper",12.0,64.8,3.0,13.0,54.0,4.0,2.0,3.0
